Sensor 1;Sensor 2;Sensor 3;Sensor 4;Sensor 5;Sensor 6;Sensor 7;Sensor 8;Resultado
-2;0;2;-1;-3;-1;-1;-2;0
-1;-3;1;-3;1;1;0;-1;0
0;-2;-10;0;2;1;0;-2;0
-1;-2;5;0;-2;0;1;-1;0
-4;0;-5;-1;-1;-1;-2;-1;0
1;-1;-2;-1;-1;-3;-2;1;0
0;0;-2;0;-1;-2;-3;-2;0
-2;1;-5;-2;-1;0;-1;0;0
0;0;-3;-3;-3;0;-1;0;0
-1;0;-5;-1;-1;-2;0;0;0
-2;0;4;-2;0;-2;-2;-3;0
-1;0;3;3;-1;-2;-2;-1;0
0;-2;5;-1;-1;-2;-1;-2;0
1;1;5;1;0;0;0;2;0
-2;-1;1;2;2;1;-1;-1;0
-2;0;-1;0;1;-1;0;-1;0
-4;-3;1;-1;2;0;0;-2;0
-1;-3;2;-4;-3;-2;0;1;0
-3;0;-2;0;-1;-1;0;-1;0
-2;-3;-1;0;-1;-1;-1;0;0
0;-3;-3;-2;-1;-1;-1;-2;0
-1;-1;-4;-4;-4;-2;0;2;0
-1;0;-12;0;-1;-2;-3;-3;0
-1;-1;-4;-2;-1;0;-2;-2;0
-1;2;-4;1;0;-1;0;-3;0
1;-1;-1;-1;0;1;1;1;0
-2;-1;1;1;1;-1;-2;-1;0
-1;-1;5;-1;-1;-1;-2;-2;0
-2;-2;1;0;-3;-2;-2;-3;0
-2;-2;-2;-2;-3;-3;-4;-2;0
1;-2;-2;-7;-5;-2;-2;-1;0
-1;0;1;0;0;-1;-1;-1;0
0;-2;2;0;0;-1;-1;-1;0
0;-1;2;-1;0;-1;1;0;0
-2;0;3;-1;-1;-2;0;-3;0
-1;1;-3;0;1;3;1;0;0
0;-1;-2;0;-4;-2;-1;0;0
2;-1;2;-1;0;-1;1;0;0
-1;0;0;1;-1;-3;-1;-3;0
0;0;-8;-2;0;0;-1;-3;0
-1;1;-5;2;0;-2;0;0;0
